id,title,url,login,display_type,college,department,major,description,link_selector
1,학사공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%ED%95%99%EC%82%AC&keyword,0,button,,,,"수강신청, 시험일정, 학적 관련 중요 공지사항",div.notice_col3 a
2,장학공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EC%9E%A5%ED%95%99&keyword,0,button,,,,"장학금 신청, 선발결과 등 장학 관련 정보",div.notice_col3 a
3,국제교류공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&keyword,0,button,,,,"교환학생, 해외연수, 국제프로그램 안내",div.notice_col3 a
4,외국인유학생공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EC%99%B8%EA%B5%AD%EC%9D%B8%EC%9C%A0%ED%95%99%EC%83%9D&keyword,0,button,,,,유학생분들을 위한 안내,div.notice_col3 a
5,채용공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EC%B1%84%EC%9A%A9&keyword,0,button,,,,"채용정보, 취업박람회, 진로 관련 안내",div.notice_col3 a
6,행사공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EB%B9%84%EA%B5%90%EA%B3%BC%C2%B7%ED%96%89%EC%82%AC&keyword,0,button,,,,"행사, 축제, 세미나 관련 정보",div.notice_col3 a
7,봉사공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EB%B4%89%EC%82%AC&keyword,0,button,,,,교내외 봉사활동 프로그램 관련 안내,div.notice_col3 a
8,기타공지,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category=%EA%B8%B0%ED%83%80&keyword,0,button,,,,위 공지 카테고리에 속하지 않은 공지,div.notice_col3 a
9,인문대학 기독교학과,https://docs.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,인문대학,기독교학과,,,tr > td.title > a
10,인문대학 국어국문학과,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,인문대학,국어국문학과,,,tr > td.title > a
