college,department,major,공지사항 URL
인문대학,기독교학과,-,https://docs.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,국어국문학과,-,https://korlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,영어영문학과,-,https://englan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,독어독문학과,-,https://gerlan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,불어불문학과,-,https://france.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,중어중문학과,-,https://chilan.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,일어일문학과,-,https://japanstu.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,철학과,-,https://philo.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%82%ac%eb%ac%b4%ec%8b%a4%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,사학과,-,https://history.ssu.ac.kr/%ed%95%99%ea%b3%bc%ec%86%8c%ec%8b%9d/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/
인문대학,예술창작학부,문예창작전공,https://creativewriting.ssu.ac.kr/%ea%b3%b5%ec%a7%80/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
인문대학,예술창작학부,영화예술전공,http://ssfilm.ssu.ac.kr/notice/index
인문대학,스포츠학부,-,https://sports.ssu.ac.kr/%ec%9e%90%eb%a3%8c%ec%8b%a4/%ec%8b%a0%ec%95%99%ec%9e%90%eb%a3%8c%ec%8b%a4/
자연과학대학,수학과,-,https://math.ssu.ac.kr/?page_id=977
자연과학대학,물리학과,-,https://physics.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
자연과학대학,화학과,-,https://chem.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
자연과학대학,정보통계·보험수리학과,-,https://stat.ssu.ac.kr/notice.html
자연과학대학,의생명시스템학부,-,https://bioinfo.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
법과대학,법학과,-,https://law.ssu.ac.kr/menu5/m5sub3/
법과대학,국제법무학과,-,https://lawyer.ssu.ac.kr/web/05/notice_list.do
사회과학대학,사회복지학부,-,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
사회과학대학,행정학부,-,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
